Latitude and Longitude,Class of Land,ndvi1,ndvi2,ndvi3,ndvi4,ndvi5,ndvi6,ndvi7,ndvi8,ndvi9,ndvi10,ndvi11,ndvi12,ndvi13,ndvi14,ndvi15,ndvi16,ndvi17,ndvi18,ndvi19,ndvi20,ndvi21,ndvi22,ndvi23,ndvi24,ndvi25,ndvi26,ndvi27,ndvi28,ndvi29,ndvi30,ndvi31,ndvi32,ndvi33,ndvi34,ndvi35,ndvi36,ndvi37,ndvi38,ndvi39,ndvi40,ndvi41,ndvi42,ndvi43,rvi1,rvi2,rvi3,rvi4,rvi5,rvi6,rvi7,rvi8,rvi9,rvi10,rvi11,rvi12,rvi13,rvi14,rvi15,rvi16,rvi17,rvi18,rvi19,rvi20,rvi21,rvi22,rvi23,rvi24,rvi25,rvi26,rvi27,rvi28,rvi29,rvi30,rvi31,rvi32,rvi33,rvi34,rvi35,rvi36,rvi37,rvi38,rvi39,rvi40,rvi41,rvi42,rvi43,rvi44,rvi45
"(10.323727047081501, 105.2516346045924)",Rice,0.6866318995277549,0.6104020190048411,0.5341721384819272,0.4579422579590134,0.3817123774360996,0.3054824969131857,0.2292526163902719,0.2330927827971947,0.1931753704733182,0.2596084606801689,0.270242496634359,0.4044160167752805,0.5434382571941146,0.6824604976129488,0.7010594304492906,0.7625044912825621,0.7657448560119807,0.7532280418844322,0.7407112277568837,0.8746495140962757,0.7092913975131157,0.7354299887419936,0.7615685799708716,0.7877071711997495,0.7875695430354893,0.7874319148712291,0.7035595950733418,0.6196872752754545,0.5358149554775672,0.528405370715444,0.3721219852465823,0.2158385997777205,0.2017737225145572,0.3133821206916596,0.424990518868762,0.5365989170458644,0.5402420969359714,0.5438852768260783,0.6990717465614149,0.6990717465614149,0.6990717465614149,0.6990717465614149,0.6990717465614149,1.1113684,0.61782354,0.6985732,0.39442474,0.6741435,0.31658575,0.46615034,0.5826733,0.1840404,0.27993414,0.5840246,0.5417432,1.0395004,0.93425703,0.8595505,1.1591264,0.67593986,0.90207237,1.1715994,0.83837056,0.9431923,0.9140851,0.72019964,0.39277893,0.4760097,0.103609934,0.14369297,0.3724614,0.3937209,0.59275234,0.9019416,1.0009525,1.1970321,0.96790427,0.8466452,0.58983725,0.99311316,0.6028912,0.55273104,0.6031445,0.6553505,0.43293598,0.47171468,0.236284,0.29055265
"(10.322364360592521, 105.27843410554115)",Rice,0.6593064235412164,0.5801999083215545,0.5010933931018927,0.4219868778822309,0.3428803626625691,0.2637738474429072,0.1846673322232454,0.2034438344864874,0.2564011709338112,0.2817705692624736,0.324079364582152,0.5809887308164476,0.6804620601508805,0.7799353894853134,0.7577327355650448,0.7761607957391442,0.7587471969499409,0.7413335981607375,0.7239199993715342,0.8690391787683828,0.7593424736966481,0.7336102680490612,0.7078780624014742,0.7626934017820656,0.7575459124151205,0.7523984230481753,0.6075450654027619,0.4626917077573484,0.317838350111935,0.3601508492890977,0.2802811699049155,0.2004114905207332,0.1434743122534012,0.2827690933609067,0.4220638744684122,0.5540252402715998,0.621164763949196,0.6883042876267922,0.6772948177586807,0.6772948177586807,0.6772948177586807,0.6772948177586807,0.6772948177586807,0.6546094,0.7879477,0.6879063,0.35430214,0.46575165,0.7698941,0.45611376,0.2685236,0.59895754,0.49067846,0.69485855,0.14734979,1.0244702,1.2952325,0.9082745,0.98022205,0.7869068,0.5012146,0.9378157,0.8370702,0.58518773,0.45253387,0.51437044,0.6493376,0.8218455,0.12832755,0.20558535,0.3252965,0.44415653,0.6133864,0.5048272,1.1089741,0.85921365,1.0837963,0.82547903,0.95149887,0.9217183,0.9322091,0.5929742,0.8509431,0.48436394,0.52868354,0.9084609,0.18885604,0.087446995
"(10.321455902933202, 105.25254306225168)",Rice,0.6969304582425968,0.6173628157727779,0.5377951733029589,0.45822753083314,0.378659888363321,0.2990922458935021,0.2195246034236832,0.2201427350467032,0.2096742121555198,0.2692056445314824,0.2684666863113941,0.4210495780406816,0.555503104529581,0.6899566310184803,0.706643827116012,0.7624295682360736,0.7679975957641141,0.7674680249965239,0.7669384542289337,0.8744889133358273,0.8160959091981981,0.8137461816183233,0.8113964540384486,0.8090467264585739,0.7965654531030412,0.7840841797475084,0.7065325828949103,0.628980986042312,0.5514293891897138,0.5359759728081935,0.3805626138631976,0.2251492549182017,0.2041605323065565,0.3170644189350322,0.4299683055635079,0.5428721921919836,0.5254340102140443,0.5079958282361051,0.6895497341780953,0.7185530799650526,0.74755642575201,0.74755642575201,0.74755642575201,0.89011747,0.867719,0.37909502,0.4436885,0.3407287,0.34325987,0.3011232,0.57142067,0.20979482,0.3838203,0.5015934,0.79865265,1.1961713,1.2019668,1.006274,1.0404359,0.73926747,0.9437545,1.2754164,1.0463694,0.95988345,0.76017517,0.812749,0.34885126,0.8352564,0.11726282,0.2414714,0.366757,0.5595036,0.74666697,0.89869535,0.957567,1.0575995,0.9510407,0.8188703,1.0586814,1.0109283,1.036065,0.61830205,1.0241548,0.69468385,0.7661975,0.7000905,0.14599419,0.15112959
"(10.324181275911162, 105.25118037576274)",Rice,0.6973292774724321,0.6189650559033174,0.5406008343342026,0.4622366127650879,0.3838723911959731,0.3055081696268583,0.2271439480577436,0.2339154283138102,0.1878388005373239,0.2612026790868588,0.2690191123110387,0.3913551084161359,0.533850377799562,0.676345647182988,0.696507799685821,0.7616608843711528,0.7640922549075557,0.7502270462936589,0.7363618376797619,0.8743385160523314,0.6973153047468782,0.726673631437723,0.7560319581285679,0.7853902848194128,0.787849406016353,0.7903085272132933,0.7035170392999983,0.6167255513867034,0.5299340634734084,0.527981120038841,0.3709379259163768,0.2138947317939127,0.20272446882648,0.1953646513062545,0.1880048337860289,0.5206216907375444,0.5523989483697955,0.5841762060020467,0.6930760187555018,0.6930760187555018,0.6930760187555018,0.6930760187555018,0.6930760187555018,0.6381055,0.70070916,0.43512097,0.50576496,0.53292114,0.4082932,0.4624476,0.5175807,0.17793176,0.10798736,0.556175,0.8731733,0.7306724,0.75549954,0.9797594,1.2818321,0.768824,1.0572944,0.8561026,0.97660875,1.0334842,0.81345963,0.6263101,0.28681096,0.36986038,0.13975638,0.13546383,0.3071125,0.2598035,0.7843851,0.5762556,0.9488548,0.8618294,0.9069545,1.0438514,0.87356055,0.8683832,0.6076596,0.4912168,0.57491416,0.2684815,0.5124984,0.62985647,0.38390523,0.13798395
"(10.324635504740822, 105.27389181724476)",Rice,0.1972777371087305,0.1972777371087305,0.1972777371087305,0.1972777371087305,0.1972777371087305,0.1972777371087305,0.1972777371087305,0.1993867301021684,0.2521919901186973,0.295250129542615,0.3039428948280451,0.5872838436227221,0.6767622648065377,0.7662406859903532,0.758155659488587,0.7806424422313972,0.7260391676893956,0.7342657475497729,0.7424923274101503,0.8669571404491526,0.8261054497830527,0.7726152605870109,0.719125071390969,0.7363887612753042,0.7411105011314203,0.7458322409875364,0.6521214151102118,0.5584105892328872,0.4646997633555626,0.370988937478238,0.2877359214033224,0.2044829053284068,0.21675290572663,0.3510933391493003,0.4854337725719706,0.5470990716712921,0.5617329171749792,0.5763667626786662,0.5339112382447927,0.5339112382447927,0.5339112382447927,0.5339112382447927,0.5339112382447927,0.7757769,0.67522043,0.69880337,0.34313524,0.42648494,0.43626228,0.5239829,0.48796728,0.09124139,0.13649213,0.6935421,0.3837439,1.087909,1.1311291,1.0295793,1.1964629,0.82975173,0.92498624,0.9278525,1.0240632,0.89452916,0.970199,0.7812711,0.336018,0.36392945,0.12968943,0.16061507,0.35656944,0.27163962,0.8037281,0.60694736,1.0192386,0.6457792,1.0802444,1.066561,0.9087751,0.6738185,0.6850462,0.66828287,0.8950213,0.64092547,0.6028821,0.69921833,0.14715476,0.16244106
"(10.323727047081501, 105.28070524968936)",Rice,0.5280625998766265,0.4713078954051447,0.4145531909336629,0.3577984864621811,0.3010437819906992,0.2442890775192174,0.1875343730477356,0.2073913281379605,0.2620718048518326,0.2883251229483042,0.3598233986577434,0.6245904668156779,0.7118054746187887,0.7990204824218996,0.7725041923121664,0.7851630105276542,0.7722040689560096,0.759245127384365,0.7462861858127203,0.8766103345235974,0.6763923365698995,0.6966717263341322,0.716951116098365,0.7797943240215044,0.764152578963758,0.7485108339060115,0.6062387831726807,0.4639667324393498,0.321694681706019,0.3177730823976136,0.2622602108231833,0.2067473392487529,0.1761350211232082,0.3281728943636677,0.4802107676041271,0.551954028966445,0.6277349801849469,0.7035159314034488,0.762734376743773,0.762734376743773,0.762734376743773,0.762734376743773,0.762734376743773,0.46514708,0.5714125,0.2554679,0.27237594,0.36505654,0.97478765,0.34062624,0.4041795,0.18263067,0.15352951,0.58396846,0.72077996,0.9188242,1.1561913,0.9616847,1.1702384,0.92749906,0.5698703,0.9956428,0.8996546,0.92761314,0.500749,0.53774965,0.62286484,0.6959735,0.23459071,0.23351617,0.5389538,0.9492973,0.90383154,0.81004715,1.1321033,0.85362065,1.2970855,1.008518,0.9172967,0.9675633,0.6646386,0.7374657,0.781923,0.9148727,0.39319637,0.52372235,0.33031052,0.20170432
"(10.325089733570481, 105.23937042619212)",Rice,0.7078393283529187,0.6279061304148921,0.5479729324768653,0.4680397345388385,0.3881065366008118,0.3081733386627851,0.2282401407247584,0.2476136746675654,0.178772205693423,0.199076857519464,0.2623899101719106,0.2791169133873517,0.4675404798279726,0.6559640462685936,0.6825573505205672,0.7602131395024628,0.7777891989620314,0.7446709377862757,0.71155267661052,0.881984690299243,0.7589418210962989,0.7626425733985245,0.7663433257007499,0.7700440780029755,0.79519410062284,0.8203441232427044,0.7449828133654683,0.6696215034882322,0.5942601936109961,0.540624096669637,0.382131374226849,0.2236386517840612,0.1977109938979702,0.3046546268476217,0.4115982597972731,0.4270104935365852,0.5087011369298129,0.5903917803230406,0.6720824237162684,0.7192424462422728,0.7664024687682774,0.7664024687682774,0.7664024687682774,0.7480668,1.2085376,0.7637278,0.53465325,0.72614014,0.6794712,0.27829662,0.30731803,0.1584917,0.14306773,0.19272724,0.3496524,0.9632887,0.6322589,0.76969767,0.6565042,0.9414216,0.9621241,1.3252705,1.1118718,1.0732871,1.2444847,0.89730513,0.37164283,0.43566155,0.0780804,0.22485483,0.14102,0.38503513,0.8226921,0.67345285,1.1322286,1.2493048,0.95080096,1.2532682,0.7803341,0.87536293,0.9438867,0.9503688,0.6604189,0.4101972,0.5310734,0.64149237,0.48384398,0.72087973
"(10.324181275911162, 105.25390574874059)",Rice,0.6814341207053926,0.6103000289303304,0.5391659371552684,0.4680318453802062,0.3968977536051442,0.3257636618300821,0.25462957005502,0.2642040324609787,0.2214953346933096,0.2627949281643127,0.2883715838820562,0.4485547074960465,0.5742627206765041,0.6999707338569617,0.7110359759873227,0.7634072324072034,0.7748600635847708,0.7687146708500758,0.7625692781153809,0.8694674236044065,0.728498752285752,0.7460684346396547,0.7636381169935572,0.7812077993474599,0.7872378720216939,0.793267944695928,0.7141173420119641,0.6349667393280002,0.5558161366440363,0.5234814069164037,0.3745548108602451,0.2256282148040867,0.193076051749538,0.311248157278671,0.4294202628078039,0.5475923683369368,0.5478968784905852,0.5482013886442336,0.7118723263125815,0.7384719103026356,0.7650714942926896,0.7650714942926896,0.7650714942926896,0.8241379,0.70711637,0.74307954,0.6256268,0.62600297,0.632112,0.804856,0.30931738,0.13817757,0.24062192,0.7317602,0.6744954,0.83831376,1.0024433,0.9726478,1.1655049,0.8479674,0.7100225,0.9703814,0.839522,1.229887,0.91358835,0.88772863,0.30977064,0.40328187,0.118288636,0.2814259,0.14809124,0.1899348,0.9997437,0.7355321,0.74123484,0.7768949,0.8751912,1.224077,0.69191116,0.8112558,0.8521679,0.32973844,0.88826346,0.7966345,0.7660152,0.40758222,0.47877625,0.40893817
"(10.321001674103542, 105.24436694331814)",Rice,0.6965794033029129,0.6048855550624344,0.5131917068219558,0.4214978585814772,0.3298040103409987,0.2381101621005201,0.1464163138600415,0.1445918379243455,0.1873975604000597,0.2621290258134922,0.2661266858701205,0.4219859988601159,0.5773154545153583,0.7326449101706005,0.7331785636871405,0.7793748294392927,0.7837450666519282,0.7412068618731176,0.6986686570943069,0.8880355051973825,0.8207183195722598,0.8017483091958614,0.7827782988194629,0.7638082884430645,0.7728945318470535,0.7819807752510425,0.6942544449483113,0.6065281146455801,0.518801784342849,0.5217020789411504,0.3612534412574725,0.2008048035737946,0.1961960490087505,0.3526509517490959,0.5091058544894413,0.5131349675813925,0.5484077318302302,0.5836804960790679,0.6189532603279055,0.6974785093490204,0.7760037583701354,0.7760037583701354,0.7760037583701354,0.8144395,1.0243146,1.0035424,0.8433564,0.7267204,0.3381656,0.79828155,0.7028196,0.12124532,0.15690908,0.22790441,0.30697006,0.68187016,0.8617715,0.7912053,1.0141488,1.0390426,0.8947721,1.117371,1.0115016,1.2691077,1.0154763,0.80932885,0.3157215,0.46124554,0.09723779,0.09167765,0.40858778,0.5246206,0.9816895,0.9630688,1.0665791,1.1463453,1.3308262,0.785307,0.9227661,0.69297117,0.6915203,0.2564741,0.9023272,0.7150493,0.5294215,0.4848866,0.7763573,0.81663954
"(10.321001674103542, 105.2416415703403)",Rice,0.720703796646424,0.6313765146831913,0.5420492327199585,0.4527219507567258,0.363394668793493,0.2740673868302603,0.1847401048670275,0.1973245544659883,0.195229360351798,0.2374326356103331,0.2683111603662706,0.4047283442986264,0.5623093254388702,0.719890306579114,0.7214146993944314,0.7763350719559466,0.7861859289320932,0.7411739605364298,0.6961619921407664,0.888923900949555,0.821557152149485,0.7934333808111699,0.7653096094728549,0.7371858381345398,0.7723087161924014,0.8074315942502631,0.7244270981601304,0.6414226020699977,0.558418105979865,0.5342768031184045,0.3696297224277393,0.204982641737074,0.1988312430301278,0.388665210846004,0.5784991786618803,0.5052262769438522,0.5353300960602302,0.565433915176608,0.595537734292986,0.6835133080751452,0.7714888818573044,0.7714888818573044,0.7714888818573044,0.59218,0.6529482,0.5763091,0.2898822,0.8679109,0.3298736,0.8490458,1.0150304,0.24224375,0.17069344,0.5804298,0.6537172,0.898646,0.99454224,0.89883995,1.1368088,0.91425997,0.8382101,1.0802656,0.8712026,1.2014146,0.91282463,1.0563107,0.6513889,0.50111467,0.16490254,0.3046946,0.106535815,0.16543475,0.7450264,0.84902084,1.1683049,1.171253,0.9458024,1.1938173,0.981076,0.83574414,0.89549685,0.6331918,0.74127096,1.0304456,0.6212575,0.5199652,0.9101947,0.8742396
